Bus_Name,Bus_Type,Departure_Time,Destination_Time,Total_Duration,Ratings,Price,Seats_Available,Route_name,Route_Link
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:30,03:30,06h 00m,"2.8
103",INR 400,8 Seats available,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Himalayan Travels,NON AC Seater / Sleeper 2+1,23:40,04:00,04h 20m,"2.9
10",450,27 Seats available,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),22:15,03:45,05h 30m,"3.8
27",INR 550,10 Seats available,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Yatra Travels,NON AC Seater/ Sleeper (2+1),20:00,00:00,04h 00m,"4.2
23",400,11 Seats available,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
Yatra Travels,NON AC Seater/ Sleeper (2+1),20:30,01:00,04h 30m,"3.8
9",400,11 Seats available,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),20:45,02:30,05h 45m,3.3,INR 500,10 Seats available,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
Pranjit Travels (Under ASTC),NON A/C Seater (2+1),21:45,02:00,04h 15m,"3.6
15",INR 450,4 Seats available,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),20:00,01:15,05h 15m,"2.9
11",400,19 Seats available,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
Himalayan Travels,NON A/C Seater (2+2),20:30,02:30,06h 00m,New,450,35 Seats available,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
KIRAN TRAVELS,A/C Seater (2+1),20:40,00:30,03h 50m,"3.1
6",540,12 Seats available,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
Pranjit Travels (Under ASTC),Bharat Benz A/C Seater (2+1),21:30,02:30,05h 00m,"4.1
9",INR 600,3 Seats available,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
Yatra,Non AC Seater (2+2),20:15,03:30,07h 15m,"2.6
20",INR 350,40 Seats available,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati
MAA MONOSHA TRAVELS,NON A/C Seater (2+1),20:00,03:30,07h 30m,New,INR 350,38 Seats available,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati
Aniruddha Travels,NON A/C Seater/ Sleeper (2+1),19:30,04:00,08h 30m,"3.8
169",INR 550,30 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh
Aniruddha Travels,AC Seater (2+2),07:50,16:15,08h 25m,"3.9
100",500,9 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh
Puja Transport,NON AC Seater / Sleeper 2+1,20:00,04:30,08h 30m,"3.4
47",INR 550,27 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh
SANJEEBANI TRAVELS,Non A/C Seater / Sleeper (2+1),21:30,04:00,06h 30m,"3.4
7",500,43 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh
Puja Transport,Non AC Seater (2+2),20:00,05:00,09h 00m,"2.4
20",INR 550,24 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh
PIHU TRANSPORT,Bharat Benz NON A/C Seater / Sleeper (2+1),19:45,04:00,08h 15m,"2.0
18",INR 470,49 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh
MOON TRAVELS,AC Seater (2+2),07:15,15:20,08h 05m,"3.4
16",523,35 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh
J.S. Travels,Non AC Seater (2+1),21:00,04:00,07h 00m,"2.3
28",INR 550,32 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh
Neha Travels,Non AC Seater (2+1),22:40,07:00,08h 20m,"2.1
12",INR 650,35 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh
Neha Travels,NON A/C Seater (2+2),22:10,04:00,05h 50m,"2.6
5",INR 650,35 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh
Deep Travels,Non AC Seater (2+1),17:45,04:30,10h 45m,"4.1
108",INR 600,30 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/haflong-to-guwahati
NETWORK TRAVELS,NON A/C Seater (2+1),18:00,04:00,10h 00m,"4.5
51",600,11 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/haflong-to-guwahati
Assam State Transport Corporation (ASTC) - 147552,Bharat Benz A/C Seater (2+2),07:30,10:45,03h 15m,"4.2
81",INR 235.62,21 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh
PANKAJ TRAVELS,NON A/C Hi-Tech Push Back (2+2),07:25,11:15,03h 50m,3.3,INR 240,37 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh
BARBIE TRAVELS,NON A/C Hi-Tech Push Back (2+2),06:00,10:20,04h 20m,New,INR 240,40 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh
BARBIE TRAVELS,NON A/C Hi-Tech Push Back (2+2),07:55,12:30,04h 35m,New,INR 240,40 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh
Maa Jagadamba,NON A/C Seater (2+3),09:20,14:00,04h 40m,2.2,INR 240,39 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh
Maa Jagadamba,A/C Seater Push Back (2+2),09:40,14:25,04h 45m,"2.2
9",INR 260,41 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh
BARBIE TRAVELS,A/C Seater Push Back (2+2),10:20,13:40,03h 20m,New,INR 280,40 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh
Air Bus Travels,NON AC Seater / Sleeper 2+1,21:00,03:00,06h 00m,"3.7
6",INR 400,41 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh
Assam State Transport Corporation (ASTC) - 166131,Bharat Benz A/C Seater (2+2),07:20,13:30,06h 10m,"4.0
93",INR 281,22 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia
Assam State Transport Corporation (ASTC) - 139495,NON A/C Seater Push Back (2+1),09:15,15:00,05h 45m,"4.5
22",INR 247,16 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia
Purple Wings Coaches,A/C Seater / Sleeper (2+1),01:15,05:45,04h 30m,3.6,559,11 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia
NETWORK TRAVELS,NON A/C Seater Push Back (2+1),04:01,09:30,05h 29m,"4.0
10",300,8 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia
Aniruddha Travels,AC Seater (2+2),11:45,17:30,05h 45m,"4.3
18",500,23 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia
Christina Travels,NON A/C Seater (2+2),12:30,18:00,05h 30m,"3.5
4",450,30 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,13:30,18:30,05h 00m,"4.6
42",INR 626.24,28 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia
NETWORK TRAVELS,Non A/C Seater / Sleeper (2+1),00:30,05:30,05h 00m,"2.9
9",350,24 Seats available,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia
