Bus_Name,Bus_Type,Departure_Time,Destination_Time,Total_Duration,Ratings,Price,Seats_Available,Route_name,Route_Link
HRTC - 591,A/C Executive (2+3),21:00,07:20,10h 20m,"4.0
44",INR 622,42 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 8,Himsuta AC Seater Volvo/Scania 2+2,21:02,06:30,09h 28m,"4.4
85",INR 892,24 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 570,Ordinary 3+2 Non AC Seater,21:25,06:45,09h 20m,"3.6
8",INR 507,25 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 518,Ordinary 3+2 Non AC Seater,21:58,07:15,09h 17m,"2.5
13",INR 507,18 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 9,Himsuta AC Seater Volvo/Scania 2+2,22:00,07:30,09h 30m,"4.6
79",INR 892,32 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 579,Ordinary 3+2 Non AC Seater,22:30,08:15,09h 45m,"4.0
15",INR 507,21 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 36,Himsuta AC Seater Volvo/Scania 2+2,22:30,06:30,08h 00m,"4.1
69",INR 867,21 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 22,Himsuta AC Seater Volvo/Scania 2+2,23:00,07:50,08h 50m,"4.4
86",INR 892,25 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 564,Ordinary 3+2 Non AC Seater,23:40,09:05,09h 25m,"4.7
20",INR 507,28 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),22:30,08:00,09h 30m,"4.7
644",495,11 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),23:25,07:45,08h 20m,"4.5
658",569,3 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),21:55,07:40,09h 45m,"4.5
590",INR 640,6 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,08:00,08h 30m,"4.3
820",569,10 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Zingbus Plus,Volvo A/C Semi Sleeper (2+2),22:05,08:10,10h 05m,"4.3
456",583,5 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),22:50,07:40,08h 50m,"4.1
279",617,8 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
City Land Travels,Volvo A/C Semi Sleeper (2+2),23:00,07:00,08h 00m,"3.2
361",673,15 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
RAO TRAVELS INDIA PVT LTD.,AC Seater (2+2),21:30,07:30,10h 00m,"1.9
39",INR 1500,32 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Heera Himachal Holidays,Volvo A/C Semi Sleeper (2+2),21:30,06:30,09h 00m,"1.7
7",INR 1399,19 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 3,Himsuta AC Seater Volvo/Scania 2+2,21:00,06:00,09h 00m,"4.4
70",INR 892,15 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/shimla-to-delhi
HRTC - 108,A/C Executive (2+3),21:20,06:52,09h 32m,"3.3
29",INR 622,41 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/shimla-to-delhi
HRTC - 19,Himsuta AC Seater Volvo/Scania 2+2,21:30,06:00,08h 30m,"4.4
67",INR 892,7 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/shimla-to-delhi
HRTC - 1712,Ordinary 3+2 Non AC Seater,21:30,06:00,08h 30m,"3.3
4",INR 507,27 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/shimla-to-delhi
HRTC - 130,Ordinary 3+2 Non AC Seater,21:45,06:15,08h 30m,"4.4
10",INR 507,37 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/shimla-to-delhi
HRTC - 179,Ordinary 3+2 Non AC Seater,22:00,06:30,08h 30m,"3.4
4",INR 507,27 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/shimla-to-delhi
HRTC - 136,Ordinary 3+2 Non AC Seater,22:30,06:30,08h 00m,"2.3
6",INR 507,26 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/shimla-to-delhi
Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),21:30,05:30,08h 00m,"4.6
660",477,20 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/shimla-to-delhi
Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),21:55,06:35,08h 40m,"4.5
512",INR 650,29 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/shimla-to-delhi
Zingbus Plus,Volvo A/C Semi Sleeper (2+2),20:30,04:50,08h 20m,"4.4
425",466,12 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/shimla-to-delhi
AdCity Land Travels,Volvo A/C Semi Sleeper (2+2),22:30,05:30,07h 00m,"3.9
453",INR 468,21 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/shimla-to-delhi
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),20:30,04:30,08h 00m,"4.2
712",494,28 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/shimla-to-delhi
City Land Travels,Volvo A/C Semi Sleeper (2+2),22:00,05:00,07h 00m,"3.8
312",INR 500,24 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/shimla-to-delhi
City Land Travels,Volvo A/C Semi Sleeper (2+2),23:00,07:00,08h 00m,"3.2
46",INR 450,26 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/shimla-to-delhi
HRTC - 803,Ordinary 3+2 Non AC Seater,20:30,06:00,09h 30m,"3.0
9",INR 549,37 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
HRTC - 732,Himsuta AC Seater Volvo/Scania 2+2,21:00,04:20,07h 20m,"3.8
20",INR 920,34 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
HRTC - 701,Ordinary 3+2 Non AC Seater,21:30,05:30,08h 00m,3.9,INR 560,24 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
HRTC - 713,Himsuta AC Seater Volvo/Scania 2+2,22:00,06:00,08h 00m,"3.7
33",INR 920,29 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
HRTC - 65,Himsuta AC Seater Volvo/Scania 2+2,22:30,05:30,07h 00m,"3.8
17",INR 938,34 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),22:00,03:30,05h 30m,"4.6
211",664,3 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:00,03:10,06h 10m,"4.8
121",539,14 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
Zingbus Plus,Volvo A/C Semi Sleeper (2+2),21:30,03:50,06h 20m,"4.6
108",495,11 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:30,03:15,05h 45m,"4.4
126",569,24 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
GLOBAL HOLIDAYS ADVENTURE TOURS,A/C Semi Sleeper (2+2),19:45,04:45,09h 00m,"3.4
68",509,24 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),20:30,02:40,06h 10m,"5.0
6",540,17 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
GLOBAL HOLIDAYS ADVENTURE TOURS,A/C Semi Sleeper (2+2),19:45,04:45,09h 00m,"2.5
114",463,21 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
Deltin Travels,Volvo 9600 A/C Semi Sleeper (2+2),20:10,03:09,06h 59m,"3.8
6",INR 700,13 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
Malana Travels,Volvo 9600 Multi Axle Semi-Sleeper (2+2),20:00,03:00,07h 00m,4.3,712,12 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
Reo India Travels,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),19:25,02:45,07h 20m,3.9,567,20 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),21:00,03:25,06h 25m,"4.1
11",609,24 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
FlixBus,A/C Seater (2+2),20:30,03:30,07h 00m,"4.1
9",INR 568,1 Seat available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
Abtc Tour and Travels,Bharat Benz A/C Semi Sleeper (2+2),21:20,05:20,08h 00m,"2.4
13",729,23 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
Deltin Travels,Volvo 9600 A/C Semi Sleeper (2+2),20:30,02:00,05h 30m,"1.7
9",INR 700,21 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
Reo India Travels,Volvo A/C Semi Sleeper (2+2),19:35,02:20,06h 45m,3.9,598,19 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
Reo India Travels,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),19:40,01:44,06h 04m,3.9,598,20 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
SPEED BUS,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),21:00,04:30,07h 30m,3.7,1756,49 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
Golden Temple Volvo Bus Service,Bharat Benz A/C Semi Sleeper (2+2),20:05,03:20,07h 15m,3.0,INR 1286,35 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
ROYAL SAFARI INDIA TRAVELS,Bharat Benz A/C Semi Sleeper (2+2),21:00,05:00,08h 00m,2.4,1439,29 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
Snow Line Holidays Manali,A/C Seater (2+2),19:45,04:45,09h 00m, ,INR 3000,45 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/manali-to-chandigarh
HRTC - 58,Himsuta AC Seater Volvo/Scania 2+2,20:40,05:00,08h 20m,"4.6
13",INR 945,28 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-manali
HRTC - 1544,Ordinary 3+2 Non AC Seater,21:40,07:50,10h 10m,3.9,INR 575,27 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-manali
HRTC - 1522,Himsuta AC Seater Volvo/Scania 2+2,22:00,06:30,08h 30m,"4.8
49",INR 920,32 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-manali
HRTC - 521,Ordinary 3+2 Non AC Seater,22:20,07:00,08h 40m,"5.0
5",INR 565,37 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-manali
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),22:50,05:30,06h 40m,"4.6
433",523,9 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-manali
GLOBAL HOLIDAYS ADVENTURE TOURS,A/C Semi Sleeper (2+2),22:25,07:00,08h 35m,"3.4
197",463,30 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-manali
City Land Travels,Volvo A/C Semi Sleeper (2+2),23:15,07:30,08h 15m,"3.5
104",INR 400,11 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-manali
Subh Yatri Holidays,Volvo A/C Semi Sleeper (2+2),23:45,05:30,05h 45m,"2.4
5",462,35 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-manali
GLOBAL HOLIDAYS ADVENTURE TOURS,A/C Semi Sleeper (2+2),22:35,07:10,08h 35m,"3.2
70",509,26 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-manali
SWAGATAM TOUR HOLIDAY,Volvo AC Seater (2+2),23:59,07:00,07h 01m,New,INR 699,32 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-manali
TANISHQ HOLIDAYS TOUR,Volvo A/C Semi Sleeper (2+2),23:30,07:30,08h 00m,"3.4
6",900,41 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-manali
Rao Travel Heights,Volvo A/C Semi Sleeper (2+2),23:40,07:00,07h 20m,4.0,INR 1649,41 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-manali
Himalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),23:00,05:40,06h 40m,3.9,740,29 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-manali
VIKAS TRAVELS ®,VE A/C Semi Sleeper (2+2),23:59,06:45,06h 46m,3.6,INR 1904.76,41 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-manali
HIMALAYAN HOLIDAYS,Volvo A/C Semi Sleeper (2+2 ),23:59,07:00,07h 01m,3.5,INR 899,19 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-manali
HIMALAYAN HOLIDAYS,Volvo A/C Semi Sleeper (2+2 ),23:50,06:45,06h 55m,3.5,INR 849,26 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-manali
Subh Yatri Holidays,Volvo A/C Semi Sleeper (2+2),23:45,08:00,08h 15m,3.3,462,34 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-manali
PAL Travel Lines,Bharat Benz A/C Semi Sleeper (2+2),23:40,06:30,06h 50m,2.9,1079,21 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-manali
PAL Travel Lines,Volvo A/C Semi Sleeper (2+2),23:45,08:25,08h 40m,2.9,539,33 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-manali
ABHI TRAVELS,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:58,06:30,06h 32m,2.6,INR 699,39 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-manali
Yatrabybus.com,Bharat Benz A/C Semi Sleeper (2+2),22:20,05:00,06h 40m,2.5,INR 1199,49 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-manali
Snow Line Holidays Manali,A/C Seater (2+2),22:35,07:10,08h 35m, ,INR 3000,45 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-manali
Snow Line Holidays Manali,A/C Seater (2+2),20:00,08:00,12h 00m, ,INR 3000,45 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-manali
HRTC - 567,Himsuta AC Seater Volvo/Scania 2+2,21:03,10:00,12h 57m,"4.4
42",INR 1428,20 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-manali
HRTC - 574,Ordinary 3+2 Non AC Seater,21:14,08:30,11h 16m,"4.3
11",INR 809,36 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-manali
HRTC - 600,Himsuta AC Seater Volvo/Scania 2+2,21:50,10:50,13h 00m,"3.9
27",INR 1446,25 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-manali
HRTC - 583,Ordinary 3+2 Non AC Seater,22:02,11:00,12h 58m,"3.1
5",INR 820,37 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-manali
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),23:00,11:00,12h 00m,"4.6
733",569,28 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-manali
Zingbus Plus,Volvo A/C Semi Sleeper (2+2),22:45,11:10,12h 25m,"4.6
740",450,23 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-manali
Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),21:00,08:40,11h 40m,"4.7
386",450,14 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-manali
AdHimalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),19:45,07:15,11h 30m,"4.1
77",546,11 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-manali
IntrCity SmartBus,Volvo 9600 A/C Semi Sleeper (2+2),19:45,08:05,12h 20m,"4.7
378",INR 509,12 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-manali
Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),22:15,09:40,11h 25m,"4.6
541",406,21 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-manali
Zingbus Plus,Scania A/C Semi Sleeper (2+2),20:00,07:45,11h 45m,"4.6
428",449,11 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-manali
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:00,09:00,12h 00m,"4.5
743",450,26 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-manali
Zingbus Plus,Volvo A/C Semi Sleeper (2+2),21:30,09:00,11h 30m,"4.5
614",450,26 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-manali
IntrCity SmartBus,Volvo A/C Semi Sleeper (2+2),20:30,09:25,12h 55m,"4.5
467",INR 509,13 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-manali
Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),23:15,11:15,12h 00m,"4.4
485",450,23 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-manali
Zingbus Plus,Volvo A/C Semi Sleeper (2+2),20:30,07:30,11h 00m,"4.6
522",450,18 Seats available,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-manali
