Bus_Name,Bus_Type,Departure_Time,Destination_Time,Total_Duration,Ratings,Price,Seats_Available,Route_name,Route_Link
KSRTC (Kerala) - 581,Super Express Non AC Seater Air Bus (2+2),10:03,18:48,08h 45m,"4.1
78",INR 469,14 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 52,SWIFT-GARUDA A/C SEATER BUS,12:01,19:55,07h 54m,"3.6
105",INR 627,18 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 1210,SWIFT-HYBRID NON AC SEATER CUM SLEEPER,12:55,21:15,08h 20m,"3.8
20",INR 567,25 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 235,Swift Deluxe Non AC Air Bus (2+2),15:00,00:01,09h 01m,"4.6
13",INR 620,29 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 370,AC MULTI AXLE,15:25,22:20,06h 55m,"2.5
37",INR 729,31 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),16:02,00:50,08h 48m,"3.0
19",INR 567,33 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 171,Swift Deluxe Non AC Air Bus (2+2),16:16,01:20,09h 04m,"3.3
8",INR 640,38 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 553,Super Express Non AC Seater Air Bus (2+2),16:45,01:25,08h 40m,"3.1
10",INR 640,17 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:04,04:24,09h 20m,"4.4
39",INR 640,36 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),20:00,04:25,08h 25m,"3.8
60",INR 473,27 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 1585,Super Express Non AC Seater Air Bus (2+2),20:31,05:36,09h 05m,"4.1
51",INR 640,29 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 1586,Super Express Non AC Seater Air Bus (2+2),21:31,06:36,09h 05m,"3.4
31",INR 640,29 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),22:12,07:36,09h 24m,"3.8
13",INR 640,23 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 2063,SWIFT-GARUDA A/C SEATER BUS,22:32,07:35,09h 03m,"3.4
40",INR 627,4 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 574,Super Express Non AC Seater Air Bus (2+2),23:00,09:30,10h 30m,"4.1
28",INR 469,26 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 583,Super Express Non AC Seater Air Bus (2+2),23:30,09:35,10h 05m,"3.4
60",INR 469,31 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 56,SWIFT-GARUDA A/C SEATER BUS,23:41,09:05,09h 24m,"3.8
49",INR 627,37 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Silver Line Travels,NON A/C Semi Sleeper (2+2),22:00,06:10,08h 10m,"4.5
294",INR 699,31 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
MMK Travels,VE A/C Seater / Sleeper (2+1),22:30,07:30,09h 00m,"4.4
480",INR 800,21 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SAAM BUS,VE A/C Sleeper (2+1),20:10,06:45,10h 35m,"4.5
139",INR 900,18 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
AdSuraj Holidays,VE A/C Sleeper (2+1),22:30,07:30,09h 00m,"3.8
273",INR 900,20 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
NS Transports,NON A/C Sleeper (2+1),21:45,06:10,08h 25m,"4.3
288",INR 900,22 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,09:00,10h 00m,"4.2
339",INR 799,36 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
NS Transports,VE A/C Sleeper (2+1),22:45,07:30,08h 45m,"4.2
288",INR 1100,16 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
AdSuraj Holidays,NON AC Seater / Sleeper 2+1,20:30,06:00,09h 30m,"3.3
113",INR 750,20 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
P K Travels,A/C Sleeper (2+1),19:15,06:30,11h 15m,"4.4
101",INR 1000,17 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SKS Tourist Corporation (REGD),A/C Sleeper (2+1),21:00,05:30,08h 30m,"4.0
116",INR 899,21 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
NS Transports,Non A/C Seater / Sleeper (2+1),22:15,06:30,08h 15m,"3.9
122",INR 800,29 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
National travels and logistics,NON A/C Sleeper (2+1),22:45,06:30,07h 45m,"3.8
160",649,20 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
DA Transports,A/C Sleeper (2+1),21:45,07:00,09h 15m,"3.5
303",INR 799,23 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SKS Tours & Travels,A/C Sleeper (2+1),21:15,05:45,08h 30m,"4.3
45",INR 849,20 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),22:00,07:05,09h 05m,"3.3
133",INR 999,21 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Sam Tourist,NON AC Seater / Sleeper 2+1,22:05,07:05,09h 00m,"3.5
51",INR 699,31 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SURAJ TRAVEL HOUSE,VE A/C Seater / Sleeper (2+1),21:00,07:30,10h 30m,"3.9
88",INR 700,36 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
A1 Travels,Non A/C Seater / Sleeper (2+1),21:00,06:45,09h 45m,"2.7
168",INR 600,33 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),02:30,10:00,07h 30m,"2.5
43",INR 1000,8 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
National travels and logistics,A/C Sleeper (2+1),22:45,07:00,08h 15m,"2.2
4",INR 899,22 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Ravina Travels (Regd),A/C Sleeper (2+1),05:00,13:00,08h 00m,"1.7
13",1259,19 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),03:00,11:00,08h 00m,"1.3
6",INR 1700,4 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
A1 Travels,A/C Seater / Sleeper (2+1),22:30,06:30,08h 00m,"1.0
5",INR 650,30 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
P K Travels,A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,3.9,INR 800,33 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
P K Travels,Non A/C Seater / Sleeper (2+1),19:15,05:15,10h 00m,"3.7
54",INR 700,17 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kalpaka Travels,NON A/C Semi Sleeper (2+2),22:00,06:30,08h 30m,"3.1
50",INR 800,26 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Vijay Lines,A/C Seater / Sleeper (2+1),22:20,07:00,08h 40m,"2.9
9",INR 555,27 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Bharathi Travels,A/C Sleeper (2+1),03:00,10:30,07h 30m,2.1,INR 790,24 Seats available,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
