Bus_Name,Bus_Type,Departure_Time,Destination_Time,Total_Duration,Ratings,Price,Seats_Available,Route_name,Route_Link
PEPSU (Punjab) - 67104,AC Seater Hvac 2+2,22:30,03:31,05h 01m,"3.0
163",INR 440,12 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi
PEPSU (Punjab) - 67103,AC Seater Hvac 2+2,22:31,04:00,05h 29m,"3.3
237",INR 440,3 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-patiala
Yolo Bus,VE A/C Seater / Sleeper (2+1),22:27,05:00,06h 33m,"4.6
428",INR 739,2 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Laxmi holidays,VE A/C Sleeper (2+1),23:55,06:45,06h 50m,"4.4
367",665,6 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:55,06:05,06h 10m,"4.6
99",INR 966,2 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:40,06:00,06h 20m,"4.5
52",INR 920,2 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
New Navyug Travels,A/C Sleeper (2+1),23:00,05:30,06h 30m,"3.6
44",743,2 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Classic Travels,A/C Seater / Sleeper (2+2),23:55,06:55,07h 00m,"2.6
94",INR 389,13 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Classic Travels,A/C Seater / Sleeper (2+2),23:30,06:30,07h 00m,"2.5
138",INR 389,6 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Golden Temple Express Volvo,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:58,06:20,06h 22m,"3.2
30",699,5 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
ADTC tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:55,05:15,05h 20m,"3.6
11",INR 799,2 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Armaan Tour & Travels,A/C Seater / Sleeper (2+1),23:00,05:30,06h 30m,"3.4
6",474,48 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Muskan Tour And Travels private Limited,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:59,05:55,05h 56m,4.2,612,4 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Armaan Tour & Travels,A/C Seater / Sleeper (2+1),22:50,06:00,07h 10m,"3.5
31",474,14 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:58,06:50,06h 52m,3.4,699,4 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Golden Temple Express Volvo,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:58,06:05,06h 07m,3.4,699,5 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
ADTC tour and Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:40,05:10,05h 30m,"2.7
4",INR 699,10 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
PEPSU (Punjab) - 67121,Volvo AC Seater (2+2),21:50,04:50,07h 00m,"4.0
4",INR 845,34 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
RSRTC - 156675,Express Non AC Seater 2+3,22:30,05:15,06h 45m,"2.2
6",INR 391,33 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Golden Temple Express Volvo,Volvo Multi-Axle A/C Semi Sleeper (2+2),22:50,05:06,06h 16m,"4.1
98",599,15 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
AdGolden Temple Express Volvo,Volvo Multi-Axle A/C Semi Sleeper (2+2),22:40,04:46,06h 06m,"3.7
9",599,15 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
City Land Travels,A/C Seater/Sleeper (2+1),22:50,05:50,07h 00m,"4.7
5",INR 488,20 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Ram Dalal Holidays,Bharat Benz A/C Sleeper (2+1),20:10,03:30,07h 20m,4.5,INR 469,18 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Ram Dalal Holidays,Bharat Benz A/C Sleeper (2+1),21:50,06:00,08h 10m,4.5,INR 590,13 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Ram Dalal Holidays,Bharat Benz A/C Sleeper (2+1),21:55,06:00,08h 05m,4.5,INR 749,17 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Yolo Bus,VE A/C Seater / Sleeper (2+1),23:30,05:24,05h 54m,"4.6
343",INR 620,5 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:20,05:00,06h 40m,"4.5
312",475,4 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:45,05:15,07h 30m,"4.6
113",INR 1017,3 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:00,02:55,06h 55m,"4.8
80",523,6 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Laxmi holidays,VE A/C Sleeper (2+1),23:00,06:00,07h 00m,"4.3
328",874,3 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Laxmi holidays,Bharat Benz A/C Sleeper (2+1),23:40,06:40,07h 00m,"4.2
398",842,4 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
IntrCity SmartBus,A/C Seater / Sleeper (2+1),20:45,04:20,07h 35m,"4.9
63",INR 566,4 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Zingbus Plus,Scania A/C Semi Sleeper (2+2),22:15,04:50,06h 35m,"4.3
188",555,8 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Laxmi holidays,Bharat Benz A/C Sleeper (2+1),23:30,06:10,06h 40m,"4.2
240",779,5 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),22:45,06:00,07h 15m,"4.4
88",INR 562,4 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),20:15,04:45,08h 30m,"4.1
190",INR 451,2 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:30,04:55,07h 25m,"4.6
69",INR 877,3 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Yolo Bus,VE A/C Seater / Sleeper (2+1),22:31,05:01,06h 30m,"4.0
103",INR 530,4 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
IntrCity SmartBus,AC Sleeper (2+1),22:00,06:10,08h 10m,"4.3
73",INR 649,5 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:50,05:50,08h 00m,"4.6
53",INR 901,5 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),22:15,05:45,07h 30m,"4.6
37",INR 620,5 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),21:50,04:55,07h 05m,"4.5
15",656,9 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:00,05:45,06h 45m,"4.6
9",INR 617,6 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
New Navyug Travels,A/C Sleeper (2+1),22:15,04:30,06h 15m,"3.8
49",608,19 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
ADTC tour and Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),22:25,04:00,05h 35m,"3.3
6",INR 555,30 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Abtc Tour and Travels,Bharat Benz A/C Semi Sleeper (2+2),22:50,04:37,05h 47m,3.3,400,28 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
K.S Travels,A/C Semi Sleeper / Sleeper (2+2),23:00,05:45,06h 45m,3.2,INR 700,30 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
NEW KING BUS SERVICE,A/C Seater / Sleeper (2+2),23:00,04:35,05h 35m,"3.3
11",INR 499,34 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Travel Point,A/C Seater / Sleeper (2+2),21:00,02:21,05h 21m,3.5,924,50 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
ADTC tour and Travels,Bharat Benz A/C Seater / Sleeper (2+2),22:30,03:55,05h 25m,3.3,INR 600,40 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:20,05:50,07h 30m,"3.6
9",INR 684,6 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),22:50,06:05,07h 15m,"3.2
14",INR 719,7 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
ADTC tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:40,04:00,05h 20m,3.3,INR 499,9 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
NueGo,Electric A/C Seater (2+2),22:00,05:25,07h 25m,"2.7
216",562,13 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Golden Temple Volvo Bus Service,A/C Seater / Sleeper (2+2),23:40,05:00,05h 20m,"2.5
51",INR 586,40 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Muskan Tour And Travels private Limited,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),22:40,04:00,05h 20m,"2.8
7",568,28 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Banjara Satguru Travels,A/C Seater / Sleeper (2+2),23:05,04:50,05h 45m,"2.2
8",496,21 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
CALL2TRIP,A/C Seater / Sleeper (2+2),22:38,04:40,06h 02m,2.9,594,44 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
RK Holiday,A/C Seater / Sleeper (2+2),22:00,03:50,05h 50m,2.8,1899,35 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Banjara Satguru Travels,A/C Seater / Sleeper (2+2),23:50,05:05,05h 15m,"2.3
12",INR 521,31 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
New National Travels,A/C Seater / Sleeper (2+2),23:00,05:00,06h 00m,"2.1
13",INR 449,24 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Banjara Satguru Travels,A/C Seater / Sleeper (2+1),23:15,04:46,05h 31m,2.2,629,25 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
RK Holiday,Bharat Benz A/C Semi Sleeper (2+2),23:30,05:00,05h 30m,2.8,474,29 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Banjara Satguru Travels,A/C Seater / Sleeper (2+2),23:15,04:46,05h 31m,2.2,629,28 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Travel Point World LLP,A/C Seater / Sleeper (2+2),22:15,04:00,05h 45m,1.6,647,28 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
NueGo,Electric A/C Seater (2+2),22:50,06:15,07h 25m,"2.8
230",524,2 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
NueGo,Electric A/C Seater/Sleeper (2+1),22:25,04:40,06h 15m,"2.7
16",497,6 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:20,06:30,07h 10m,"4.7
110",INR 621,5 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:40,06:20,07h 40m,"4.6
99",570,9 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
Yolo Bus,VE A/C Seater / Sleeper (2+1),21:37,05:00,07h 23m,"4.9
61",INR 790,2 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
Laxmi holidays,VE A/C Sleeper (2+1),23:10,06:45,07h 35m,"4.4
97",665,8 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),22:55,06:05,07h 10m,"4.7
35",INR 917,2 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
Laxmi holidays,Bharat Benz A/C Sleeper (2+1),23:35,07:00,07h 25m,"4.8
30",601,9 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
Golden Temple Express Volvo,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:40,06:20,06h 40m,"4.1
52",699,9 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
IntrCity SmartBus,AC Sleeper (2+1),21:55,05:45,07h 50m,"4.3
33",INR 884,1 Seat available,Patiala to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
New Navyug Travels,A/C Sleeper (2+1),22:00,05:30,07h 30m,"4.5
25",743,9 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
Zingbus Plus,Scania A/C Semi Sleeper (2+2),23:10,05:50,06h 40m,"4.4
27",566,24 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:55,06:20,08h 25m,"4.6
22",INR 1029,1 Seat available,Patiala to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:45,06:45,07h 00m,"4.1
21",INR 855,6 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
Muskan Tour And Travels private Limited,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:55,05:55,06h 00m,"3.8
20",612,4 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),22:35,06:15,07h 40m,"4.8
6",557,5 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:45,06:00,07h 15m,"4.2
8",INR 920,2 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
Ram Dalal Holidays,Bharat Benz A/C Sleeper (2+1),23:45,05:00,05h 15m,4.5,INR 1110,3 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),23:25,06:25,07h 00m,4.5,INR 744,2 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
ADTC tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:35,05:15,05h 40m,3.7,INR 799,5 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
Golden Temple Express Volvo,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:47,06:05,06h 18m,3.6,699,5 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:55,06:50,06h 55m,3.6,699,6 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
ADTC tour and Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),22:55,05:10,06h 15m,3.7,INR 699,14 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
SHREE SATGURU TRAVELS,A/C Seater / Sleeper (2+2),23:58,06:00,06h 02m,2.7,INR 699,38 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
Armaan Tour & Travels,A/C Seater / Sleeper (2+1),21:45,06:00,08h 15m,2.4,719,6 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:10,06:30,07h 20m,"4.8
300",INR 621,3 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
Yolo Bus,VE A/C Seater / Sleeper (2+1),23:26,06:28,07h 02m,"4.6
382",INR 670,3 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
Zingbus Plus,Scania A/C Semi Sleeper (2+2),22:50,05:50,07h 00m,"4.6
250",524,11 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
AdCity Land Travels,A/C Seater/Sleeper (2+1),23:59,07:30,07h 31m,3.6,INR 488,13 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:30,06:00,07h 30m,"4.6
221",INR 920,1 Seat available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
Laxmi holidays,Bharat Benz A/C Sleeper (2+1),23:25,07:00,07h 35m,"4.5
229",601,7 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
Yolo Bus,VE A/C Seater / Sleeper (2+1),21:11,05:00,07h 49m,"4.4
400",INR 729,2 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
Laxmi holidays,VE A/C Sleeper (2+1),23:05,06:45,07h 40m,"4.4
353",665,8 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),22:45,06:05,07h 20m,"4.4
149",INR 966,2 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:35,06:20,07h 45m,"4.2
362",570,7 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
Golden Temple Express Volvo,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:30,06:20,06h 50m,"4.4
124",699,5 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
Laxmi holidays,Bharat Benz A/C Sleeper (2+1),23:55,07:30,07h 35m,"4.2
110",599,4 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:55,07:15,07h 20m,"4.1
108",INR 580,4 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
New Navyug Travels,A/C Sleeper (2+1),21:50,05:30,07h 40m,"4.0
166",743,2 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
R S YADAV SMART BUS PRIVATE LIMITED,Volvo Multi Axle B11R AC Seater\Sleeper (2+1),22:55,05:35,06h 40m,"4.6
76",INR 999,3 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:35,06:45,07h 10m,"4.0
79",INR 645,6 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
Muskan Tour And Travels private Limited,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:35,05:55,06h 20m,"4.2
26",612,4 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
Golden Temple Express Volvo,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:30,06:05,06h 35m,"4.2
13",699,5 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),23:15,06:25,07h 10m,"4.2
11",INR 744,2 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
ADTC tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:10,05:15,06h 05m,"2.4
21",INR 799,2 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
Ram Dalal Holidays,Bharat Benz A/C Sleeper (2+1),23:25,05:00,05h 35m,4.9,INR 1110,3 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:50,06:50,07h 00m,4.0,699,6 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
ADTC tour and Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),22:40,05:10,06h 30m,"3.6
50",INR 699,13 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
FlixBus,A/C Sleeper (2+1),23:30,06:35,07h 05m,"3.9
6",INR 865,7 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
SHREE SATGURU TRAVELS,A/C Seater / Sleeper (2+2),23:50,06:00,06h 10m,"1.3
4",INR 699,25 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
Armaan Tour & Travels,A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,"2.1
7",719,5 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
Big Bus,A/C Seater / Sleeper (2+2),23:00,05:30,06h 30m,2.5,INR 1045,28 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
K.S Travels,A/C Semi Sleeper / Sleeper (2+2),23:30,05:30,06h 00m,2.4,INR 900,24 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
PEPSU (Punjab) - 67121,Volvo AC Seater (2+2),21:50,06:20,08h 30m,3.5,INR 1007,34 Seats available,Patiala to Delhi,https://www.redbus.in/bus-tickets/delhi-to-jalandhar
