Bus_Name,Bus_Type,Departure_Time,Destination_Time,Total_Duration,Ratings,Price,Seats_Available,Route_name,Route_Link
SBSTC-BURDWAN - KOLKATA - 15:25 (BWN DEPOT) - 33,Non AC Seater (2+3),15:25,17:25,02h 00m,"3.7
75",INR 95,40 Seats available,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
SBSTC-BURDWAN - KARUNAMOYEE - A/C - 15:45 (BWN DEPOT) - 1673,AC Seater (2+2),15:45,18:15,02h 30m,"4.2
158",INR 200,7 Seats available,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
SBSTC-BURDWAN - KOLKATA - A/C - 15:45 (BWN DEPOT) - 36,AC Seater (2+2),15:45,17:45,02h 00m,"3.5
112",INR 180,28 Seats available,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
SBSTC-BURDWAN - KOLKATA - 16:00 (BWN DEPOT) - 39,Non AC Seater (2+3),16:00,18:00,02h 00m,"3.1
47",INR 95,51 Seats available,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
SBSTC-BURDWAN - KARUNAMOYEE - 16:10 (BWN DEPOT) - 58,Non AC Seater (2+3),16:10,18:40,02h 30m,"4.1
161",INR 100,26 Seats available,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
SBSTC-BURDWAN - KARUNAMOYEE - 16:45 (BWN DEPOT) - 59,Non AC Seater (2+3),16:45,19:15,02h 30m,"3.7
110",INR 100,31 Seats available,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
SBSTC-BURDWAN - KOLKATA - 17:00 (BWN DEPOT) - 41,Non AC Seater (2+3),17:00,19:00,02h 00m,"3.7
101",INR 95,39 Seats available,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
SBSTC-BURDWAN - KARUNAMOYEE - 17:30 (BWN DEPOT) - 60,Non AC Seater (2+3),17:30,20:00,02h 30m,"3.6
145",INR 100,38 Seats available,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
SBSTC-BURDWAN - KARUNAMOYEE - 18:30 (BWN DEPOT) - 61,Non AC Seater (2+3),18:30,21:00,02h 30m,"3.9
79",INR 100,47 Seats available,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo B11R Multi Axle Seater (2+2),14:55,17:45,02h 50m,"4.5
57",INR 429,20 Seats available,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
