Bus_Name,Bus_Type,Departure_Time,Destination_Time,Total_Duration,Ratings,Price,Seats_Available,Route_name,Route_Link
SBSTC-KOLKATA - DIGHA - 23:30 (DIGHA DEPOT) - 3988,Non AC Seater (2+3),23:30,04:00,04h 30m,3.6,INR 155,48 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
SBSTC-GARIA - DIGHA - 22:30 (DIGHA DEPOT) - 3745,Non AC Seater (2+3),23:45,04:15,04h 30m,"4.2
242",INR 155,21 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,04:30,05h 00m,"4.5
336",360,22 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Express Line,Volvo 9600 A/C Seater (2+2),23:45,04:45,05h 00m,"4.5
289",359,26 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Maa Chandi Travels,A/C Seater / Sleeper (2+2),22:00,05:30,07h 30m,"4.4
164",INR 400,21 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Sagufta Travels(Maa Chandi),A/C Seater / Sleeper (2+2),23:57,05:10,05h 13m,"4.2
81",347,24 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Parameswar Travels,A/C Seater Push Back (2+2),23:50,04:45,04h 55m,"3.4
67",285,26 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Sagufta Travels (Bhorpet Travels),AC Seater (2+2),23:55,04:35,04h 40m,"3.7
47",347,22 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Sagufta Travels (Mayuri),A/C Seater (2+2),23:15,04:00,04h 45m,"4.8
15",347,20 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Parameswar Travels,A/C Seater Push Back (2+3),23:45,05:00,05h 15m,"2.8
140",285,47 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Sagufta Travels (Atithi),A/C Seater Push Back (2+3),23:59,05:00,05h 01m,"3.3
36",299,38 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Parameswar Travels,A/C Seater Push Back (2+3),23:59,05:00,05h 01m,"2.7
130",238,48 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
City Express (Shinjini),AC Seater (2+3),23:50,04:55,05h 05m,"2.9
75",INR 320,35 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Snemita Paribahan (Bhorpet),AC Seater (2+2),23:55,04:45,04h 50m,"3.6
17",INR 420,29 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Basu Travels,A/C Seater Push Back (2+3),23:30,04:30,05h 00m,"3.5
17",INR 249,20 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
City Express (Shinjini),AC Seater (2+2),23:45,04:35,04h 50m,"3.9
4",INR 470,12 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Parameswar Travels,A/C Seater Push Back (2+3),23:55,05:00,05h 05m,"1.9
32",238,49 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Snemita Paribahan(Shinjini),A/C Seater (2+3),23:50,04:30,04h 40m,"2.8
15",INR 320,20 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Sagufta Travels (Sagar Kanya),A/C Seater Push Back (2+3),23:30,04:05,04h 35m,"2.6
20",299,16 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Parameswar Travels,A/C Seater Push Back (2+3),21:50,03:45,05h 55m,"2.6
20",285,51 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Haimanti Bus Service,AC Seater (2+3),19:50,01:30,05h 40m,"2.3
7",INR 250,20 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Snemita Paribahan (Shinjini),AC Seater (2+2),23:45,04:35,04h 50m,3.7,INR 270,13 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Arunita Paribahan,AC Seater (2+2),23:45,04:45,05h 00m,3.4,INR 370,21 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Ankita Paribahan(Atithi),A/C Seater (2+3),23:55,05:00,05h 05m,3.1,370,20 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Ankita Paribahan (Maity Motor),A/C Seater Push Back (2+3),22:20,03:00,04h 40m,3.1,416,25 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Basu Travels,A/C Seater Push Back (2+3),23:55,05:00,05h 05m,"2.3
5",INR 469,21 Seats available,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
