Bus Routes Name,Bus Routes Link
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/gopalganj-to-delhi
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-motihari
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/delhi-to-motihari
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/bettiah-to-patna
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/motihari-to-delhi
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/balmiki-nagar-bihar-to-patna
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-kathmandu
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-katihar
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-hazaribagh
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/ranchi-to-patna
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/hazaribagh-to-patna
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-raxaul
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/muzaffarpur-to-kathmandu
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-ranchi
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/muzaffarpur-to-ranchi
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/kathmandu-to-patna
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/ranchi-to-muzaffarpur
Motihari to Lucknow,https://www.redbus.in/bus-tickets/motihari-to-lucknow
Motihari to Lucknow,https://www.redbus.in/bus-tickets/lucknow-to-motihari
Motihari to Lucknow,https://www.redbus.in/bus-tickets/motihari-to-kathmandu
Motihari to Lucknow,https://www.redbus.in/bus-tickets/agra-to-motihari
Motihari to Lucknow,https://www.redbus.in/bus-tickets/patna-to-janakpur-nepal
Motihari to Lucknow,https://www.redbus.in/bus-tickets/muzaffarpur-to-hazaribagh
Motihari to Lucknow,https://www.redbus.in/bus-tickets/purnea-to-patna
Motihari to Lucknow,https://www.redbus.in/bus-tickets/patna-to-araria
Motihari to Lucknow,https://www.redbus.in/bus-tickets/darbhanga-to-patna
Motihari to Lucknow,https://www.redbus.in/bus-tickets/patna-to-saharsa
Motihari to Agra,https://www.redbus.in/bus-tickets/motihari-to-agra
Motihari to Agra,https://www.redbus.in/bus-tickets/hajipur-to-kathmandu
Motihari to Agra,https://www.redbus.in/bus-tickets/kathmandu-to-motihari
Motihari to Agra,https://www.redbus.in/bus-tickets/patna-to-forbesganj
Motihari to Agra,https://www.redbus.in/bus-tickets/ranchi-to-hajipur
Motihari to Agra,https://www.redbus.in/bus-tickets/lucknow-to-gopalganj
